epoch,acc
1,0.7719980554205154
2,0.7413709285367039
3,0.7919299951385513
4,0.7933884297520661
5,0.806028196402528
6,0.8313077297034517
7,0.8230432668935342
8,0.7953330092367525
9,0.8147788040836169
10,0.8094312105007292
11,0.7953330092367525
12,0.8006806028196403
13,0.7865824015556636
14,0.797277588721439
15,0.7997083130772971
16,0.7768595041322314
17,0.7963052989790957
18,0.7924161400097229
19,0.8035974720466699
20,0.7914438502673797
21,0.7802625182304327
22,0.7870685464268352
23,0.7904715605250364
24,0.7929022848808945
25,0.7783179387457463
26,0.7987360233349539
27,0.7948468643655809
28,0.7899854156538648
29,0.7875546912980068
30,0.786096256684492
